s08_user_point	warm	5	2012354	70749328	4	546	4391604	40	44	47
s08_user_point	cold	3	2012354	70749328	4	546	5934322	57	67	139
s09_descendant	warm	5	5794587	211099492	20	1348	9996628	366	396	422
s09_descendant	cold	3	5794587	211099492	20	1348	24077044	790	790	848
s10_child	warm	5	2000064	98005824	20	1620	21763115	56	58	62
s10_child	cold	3	2000064	98005824	20	1620	23039644	77	79	180
s11_event_attr	warm	5	2045122	66918519	20	2428	6250596	38	43	46
s11_event_attr	cold	3	2045122	66918519	20	2428	6503006	54	55	131
s12_select	warm	5	2045122	50558161	20	3699	6241756	33	36	39
s12_select	cold	3	2045122	50558161	20	3699	7370632	53	62	89
s13_count_gt	warm	5	2053314	52043179	20	3543	17406747	40	43	45
s13_count_gt	cold	3	2053314	52043179	20	3543	15300870	56	58	63
s14_trace_level	warm	5	1246002	32208133	20	2962	19625830	71	78	107
s14_trace_level	cold	3	1246002	32208133	20	2962	20917750	145	168	169
s15_unscoped_and_resource	warm	5	2050650	142366401	20	2615	21123402	108	113	211
s15_unscoped_and_resource	cold	3	2050650	142366401	20	2615	15790869	137	145	281
st01_child_plain	warm	5	2000064	98059501	0	0	42227482	70	74	77
st01_child_plain	cold	3	2000064	98059501	0	0	39233142	104	112	189
st02_child_neg	warm	5	2000064	98059501	20	1364	42227066	63	77	81
st02_child_neg	cold	3	2000064	98059501	20	1364	40005754	88	97	119
st03_child_union	warm	5	2000064	98059501	0	0	100115169	70	73	95
st03_child_union	cold	3	2000064	98059501	0	0	98693821	98	100	121
st04_parent_plain	warm	5	2000064	98059501	0	0	42259563	75	80	145
st04_parent_plain	cold	3	2000064	98059501	0	0	41378376	98	106	110
st05_parent_neg	warm	5	2000064	98059501	20	1364	42259563	65	68	76
st05_parent_neg	cold	3	2000064	98059501	20	1364	41256348	108	109	162
st06_parent_union	warm	5	2000064	98059501	0	0	100115169	66	68	73
st06_parent_union	cold	3	2000064	98059501	0	0	100655861	90	97	197
st07_sibling_plain	warm	5	2000064	98059501	0	0	61226572	96	106	161
st07_sibling_plain	cold	3	2000064	98059501	0	0	62975399	146	152	153
